[2017-11-25 18:38] !SAY            performed by '|69th| chrisweb89': Join us on Discord : Discord.me/NWG - |69th| chrisweb89
[2017-11-25 18:40] !KICK           performed by '|69th| chrisweb89' on ' SetPhaserstoPun': You were AFK!
[2017-11-25 18:40] !KICK           performed by '[TZ] FFG' on ' giiTaa': sq
[2017-11-25 18:43] !TEMPBAN        performed by '|69th| chrisweb89' on ' Mulan_Szechuan_Sauce': attempt tk
[2017-11-25 18:45] !SETNEXT        performed by '[TZ] FFG': Saaremaa (AAS, Std)
[2017-11-25 19:01] !REPORT         performed by '|69th| TactNomad.V2': trela tk newbie for no reason
[2017-11-25 19:01] !KICK           performed by '|69th| imchicken1' on ' trelaras52': Stop teamkilling! Watch your fire!
[2017-11-25 19:08] !REPORT         performed by ' A.C.Bassem.Sdj': change map fallujah plz
[2017-11-25 19:08] !KICK           performed by 'SERVER' on ' nsh2660': Creating too many early squads!
[2017-11-25 19:10] !KICK           performed by '|69th| imchicken1' on ' retardboys': Stop chat-spamming!
[2017-11-25 19:12] !SAY            performed by '|69th| chrisweb89': Join us on Discord : Discord.me/NWG - |69th| chrisweb89
[2017-11-25 19:12] !REPORT         performed by '[TZ] FFG': god dammit, dutchcourage is drunk as fuck
[2017-11-25 19:12] !WARN           performed by '|69th| chrisweb89' on ' retardboys': you got kicked because you were spamming mumble after the 2:00 mark, pls dont do it again
[2017-11-25 19:12] !SWITCH         performed by ' Liam' on ' Liam': Instantly
[2017-11-25 19:17] !REPORTP        performed by 'RET A.Hawkings[21MID]': 3dog drybrisket, shooting at friendly helis
[2017-11-25 19:17] !WARN           performed by ' Liam' on '3dog drybrisket': stop shooting at friendlies.
[2017-11-25 19:18] !SAY            performed by '|69th| chrisweb89': join the community and provide feedback at discord.me/NWG and newworldgaming.xyz - |69th| chrisweb89
[2017-11-25 19:20] !WARN           performed by '|69th| chrisweb89' on '=SOI= abou-ghassen-toun': stop shooting at friendlies
[2017-11-25 19:21] !TEMPBAN        performed by '|69th| chrisweb89' on ' retardboys': troll
[2017-11-25 19:36] !MESSAGE        performed by '|69th| chrisweb89' on ' Liam': nie 2000m tk - |69th| chrisweb89
[2017-11-25 19:51] !WARN           performed by '[TZ] FFG' on ' nsh2660': You are stealing an asset. Please return it to base.
[2017-11-25 19:53] !KICK           performed by '[TZ] Cleavetester' on ' nsh2660': troll
[2017-11-25 19:58] !SETNEXT        performed by '[TZ] FFG': Goose Green (AAS, Std)
[2017-11-25 20:00] !WARN           performed by '|69th| chrisweb89' on ' nsh2660': you need to type or talk, and communicate to play on this server
[2017-11-25 20:00] !KICK           performed by '|69th| chrisweb89' on ' nsh2660': not communicateing
[2017-11-25 20:01] !REPORT         performed by '[TZ] FFG': that dude was the one who stole trans
[2017-11-25 20:04] !TEMPBAN        performed by '|69th| chrisweb89' on ' nsh2660': troll
[2017-11-25 20:05] !WARN           performed by '|69th| RYAN030' on ' Ca1JJ': mic?
[2017-11-25 20:16] !RESIGN         performed by '|69th| hector21' on ' Ca1JJ': no mic as SL
[2017-11-25 20:18] !WARN           performed by ' Liam' on '=vHc= S.Mag[75thR]': Are you there? Please respond in chat or be kicked
[2017-11-25 20:19] !WARN           performed by ' Liam' on '=vHc= S.Mag[75thR]': Are you there? Please respond in chat or be kicked
[2017-11-25 20:19] !RESIGN         performed by ' Liam' on '=vHc= S.Mag[75thR]': You were AFK!
[2017-11-25 20:19] !SETNEXT        performed by '[TZ] FFG': Gaza (AAS, Alt)
[2017-11-25 20:25] !SAY            performed by '|69th| chrisweb89': join the community, and give feedback at discord.me/nwg and newworldgaming.xyz - |69th| chrisweb89
[2017-11-25 20:32] !SWITCH         performed by '[TZ] FFG' on '[TZ] FFG': Instantly
[2017-11-25 20:32] !SETNEXT        performed by '|69th| chrisweb89': Gaza (AAS, Alt)
[2017-11-25 20:33] !SWITCH         performed by ' Liam' on '[JP] M1911_Milk_Tea': Instantly
[2017-11-25 20:34] !SWITCH         performed by '[TZ] FFG' on '[TZ] [R-DEV]M42Zwilling': Instantly
[2017-11-25 20:52] !SWITCH         performed by ' Pyrolysis' on ' Pyrolysis': Instantly
[2017-11-25 21:14] !REPORT         performed by '|69th| RYAN030': is it ffa on your team too liam?
[2017-11-25 21:14] !REPORT         performed by ' Liam': can't read that
[2017-11-25 21:15] !REPORT         performed by '|69th| RYAN030': is it dogshit on your team?
[2017-11-25 21:41] !SETNEXT        performed by ' Pyrolysis': Fallujah West (Insurgency, Inf)
[2017-11-25 22:25] !SAY            performed by ' Pyrolysis': do not destroy cache until 20v20 -  Pyrolysis
[2017-11-25 22:25] !SAY            performed by ' Pyrolysis': do not use car bomb until 20v20 -  Pyrolysis
[2017-11-25 22:33] !SAY            performed by ' Pyrolysis': do not attack the cache until 20v20 -  Pyrolysis
[2017-11-25 23:00] !SAY            performed by ' Pyrolysis': you can attack cache now -  Pyrolysis
[2017-11-25 23:00] !SAY            performed by ' Pyrolysis': we will run vehicle warfare next -  Pyrolysis
[2017-11-25 23:17] !SETNEXT        performed by ' Pyrolysis': The Falklands (AAS, Std)
[2017-11-25 23:17] !SETNEXT        performed by ' Pyrolysis': The Falklands (Vehicle Warfare, Std)
[2017-11-25 23:18] !REPORT         performed by ' ff80': go next
[2017-11-25 23:56] !KICK           performed by 'SERVER' on ' wmtoml': Creating too many early squads!
[2017-11-26 00:08] !SWITCH         performed by ' Liam' on ' Liam': Instantly
[2017-11-26 00:38] !TEMPBAN        performed by ' Liam' on ' =FDF=Belal@@': hacker
[2017-11-26 00:39] !WARN           performed by ' Liam' on ' Dmitry_Itztuka': do not baserape
[2017-11-26 00:41] !TEMPBAN        performed by ' Pyrolysis' on ' =FDF=Belal@@': hacker
[2017-11-26 00:50] !WARN           performed by ' Pyrolysis' on ' CSGO666': baserape
[2017-11-26 08:02] !WARN           performed by ' Pyrolysis' on ' motaz...123.': Stop teamkilling! Watch your fire!
[2017-11-26 08:02] !WARN           performed by ' Pyrolysis' on ' nsh2660': Stop teamkilling! Watch your fire!
[2017-11-26 08:03] !SAY            performed by ' Pyrolysis': just stop tk both of yu -  Pyrolysis
[2017-11-26 08:03] !KICK           performed by ' Pyrolysis' on ' nsh2660': Stop teamkilling! Watch your fire!
